id,uid,date,home_id,home_uid,home_location,home_name,home_color,home_alternate_color,home_conference_id,home_score,home_winner,away_id,away_uid,away_location,away_name,away_color,away_alternate_color,away_is_active,away_conference_id,away_score,away_winner,game_id,season,venue_address_city,venue_address_state
401375961,s:40~l:54~e:401375961~c:401375961,2021-11-13T20:00Z,2523,s:40~l:54~t:2523,"Robert Morris",Colonials,00214D,a21d2b,45,50,FALSE,2006,s:40~l:54~t:2006,Akron,Zips,00285e,84754e,TRUE,14,60,TRUE,401375961,2022,"Moon Township",PA
401375641,s:40~l:54~e:401375641~c:401375641,2021-11-13T20:00Z,250,s:40~l:54~t:250,"UT Arlington",Mavericks,004b7c,f58024,27,72,TRUE,2534,s:40~l:54~t:2534,"Sam Houston",Bearkats,fe5000,000000,TRUE,30,54,FALSE,401375641,2022,Arlington,TX
401374849,s:40~l:54~e:401374849~c:401374849,2021-11-13T20:00Z,302,s:40~l:54~t:302,"UC Davis",Aggies,002855,c3c4c6,9,50,FALSE,2608,s:40~l:54~t:2608,"Saint Mary's",Gaels,d80024,003057,TRUE,29,52,TRUE,401374849,2022,Davis,CA
401374236,s:40~l:54~e:401374236~c:401374236,2021-11-13T20:00Z,261,s:40~l:54~t:261,Vermont,Catamounts,154734,ffc72c,1,61,FALSE,44,s:40~l:54~t:44,"American University",Eagles,c41130,c8102e,TRUE,22,68,TRUE,401374236,2022,Poughkeepsie,NY
401380645,s:40~l:54~e:401380645~c:401380645,2021-11-13T19:00Z,130,s:40~l:54~t:130,Michigan,Wolverines,00274c,ffcb05,7,82,TRUE,2597,s:40~l:54~t:2597,"St. Francis Brooklyn",Terriers,113682,NA,TRUE,19,46,FALSE,401380645,2022,"Ann Arbor",MI
401379014,s:40~l:54~e:401379014~c:401379014,2021-11-13T19:00Z,2379,s:40~l:54~t:2379,"Maryland-Eastern Shore","Lady Hawks",5c2301,b5b7ba,16,73,TRUE,2133,s:40~l:54~t:2133,Claflin,Panthers,000000,NA,FALSE,NA,57,FALSE,401379014,2022,"Princess Anne",MD
401376886,s:40~l:54~e:401376886~c:401376886,2021-11-13T19:00Z,254,s:40~l:54~t:254,Utah,Utes,890012,7e8083,21,106,TRUE,2752,s:40~l:54~t:2752,Xavier,Musketeers,002144,9ea2a2,TRUE,4,71,FALSE,401376886,2022,"Salt Lake City",UT
401375963,s:40~l:54~e:401375963~c:401375963,2021-11-13T19:00Z,2649,s:40~l:54~t:2649,Toledo,Rockets,ffffff,ffd51d,14,73,TRUE,2750,s:40~l:54~t:2750,"Wright State",Raiders,cba052,cba052,TRUE,45,56,FALSE,401375963,2022,Toledo,OH
401375478,s:40~l:54~e:401375478~c:401375478,2021-11-13T19:00Z,2739,s:40~l:54~t:2739,"Green Bay",Phoenix,006633,ffffff,45,71,TRUE,2449,s:40~l:54~t:2449,"North Dakota State",Bison,01402A,ffffff,TRUE,47,54,FALSE,401375478,2022,"Green Bay",WI
401375477,s:40~l:54~e:401375477~c:401375477,2021-11-13T19:00Z,156,s:40~l:54~t:156,Creighton,Bluejays,13299e,00235d,4,71,TRUE,2437,s:40~l:54~t:2437,Omaha,Mavericks,e3193e,NA,TRUE,47,51,FALSE,401375477,2022,Omaha,NE
401375475,s:40~l:54~e:401375475~c:401375475,2021-11-13T19:00Z,2900,s:40~l:54~t:2900,"St. Thomas - Minnesota",Tommies,000000,NA,47,55,FALSE,2287,s:40~l:54~t:2287,"Illinois State",Redbirds,CE1126,ffe716,TRUE,18,70,TRUE,401375475,2022,"Saint Paul",MN
401374071,s:40~l:54~e:401374071~c:401374071,2021-11-13T19:00Z,2142,s:40~l:54~t:2142,Colgate,Raiders,8B011D,231f20,22,61,TRUE,2378,s:40~l:54~t:2378,UMBC,Retrievers,000000,ad860a,TRUE,1,52,FALSE,401374071,2022,Hamilton,NY
401373897,s:40~l:54~e:401373897~c:401373897,2021-11-13T19:00Z,2454,s:40~l:54~t:2454,"North Florida",Ospreys,004B8D,babcbe,46,126,TRUE,3174,s:40~l:54~t:3174,"Trinity Baptist",Eagles,NA,NA,FALSE,NA,31,FALSE,401373897,2022,Jacksonville,FL
401383595,s:40~l:54~e:401383595~c:401383595,2021-11-13T18:00Z,116,s:40~l:54~t:116,"Mount St. Mary's",Mountaineers,005596,ebebeb,19,102,TRUE,111204,s:40~l:54~t:111204,UVF,Patriots,NA,NA,FALSE,NA,15,FALSE,401383595,2022,Emmitsburg,MD
401377120,s:40~l:54~e:401377120~c:401377120,2021-11-13T18:00Z,290,s:40~l:54~t:290,"Georgia Southern",Eagles,003775,f0f0f0,27,99,TRUE,2232,s:40~l:54~t:2232,"Fort Valley State",Wildcats,000000,NA,FALSE,NA,71,FALSE,401377120,2022,Statesboro,GA
401375639,s:40~l:54~e:401375639~c:401375639,2021-11-13T18:00Z,2130,s:40~l:54~t:2130,"Chicago State",Cougars,006700,NA,30,50,FALSE,5,s:40~l:54~t:5,UAB,Blazers,054338,ffc845,TRUE,11,81,TRUE,401375639,2022,Chicago,IL
401375350,s:40~l:54~e:401375350~c:401375350,2021-11-13T18:00Z,2377,s:40~l:54~t:2377,McNeese,Cowgirls,00529C,NA,25,98,TRUE,2904,s:40~l:54~t:2904,"Southwest Assemblies of God",Lions,000000,NA,FALSE,NA,48,FALSE,401375350,2022,"Lake Charles",LA
401375007,s:40~l:54~e:401375007~c:401375007,2021-11-13T18:00Z,2115,s:40~l:54~t:2115,"Central Connecticut","Blue Devils",1B49A2,d1d5d8,19,50,FALSE,2514,s:40~l:54~t:2514,Quinnipiac,Bobcats,041B43,NA,TRUE,13,79,TRUE,401375007,2022,"New Britain",CT
401374074,s:40~l:54~e:401374074~c:401374074,2021-11-13T18:00Z,311,s:40~l:54~t:311,Maine,"Black Bears",127dbe,NA,1,61,FALSE,2507,s:40~l:54~t:2507,Providence,Friars,000000,a3a19e,TRUE,4,66,TRUE,401374074,2022,Orono,ME
401374073,s:40~l:54~e:401374073~c:401374073,2021-11-13T18:00Z,2349,s:40~l:54~t:2349,"UMass Lowell","River Hawks",000000,cf1f2f,1,68,TRUE,2803,s:40~l:54~t:2803,Bryant,Bulldogs,000000,9f8343,TRUE,19,54,FALSE,401374073,2022,Lowell,MA
401369353,s:40~l:54~e:401369353~c:401369353,2021-11-13T18:00Z,103,s:40~l:54~t:103,"Boston College",Eagles,8c2232,dbcca6,2,75,TRUE,107,s:40~l:54~t:107,"Holy Cross",Crusaders,0a0a0a,080808,TRUE,22,50,FALSE,401369353,2022,"Chestnut Hill",MA
401375476,s:40~l:54~e:401375476~c:401375476,2021-11-13T17:00Z,2086,s:40~l:54~t:2086,Butler,Bulldogs,0d1361,00a3e0,4,46,FALSE,2710,s:40~l:54~t:2710,"Western Illinois",Leathernecks,4e1e8a,ffc90a,TRUE,47,73,TRUE,401375476,2022,Indianapolis,IN
401375006,s:40~l:54~e:401375006~c:401375006,2021-11-13T17:00Z,2325,s:40~l:54~t:2325,"La Salle",Explorers,003356,ffce00,3,67,TRUE,2520,s:40~l:54~t:2520,Rider,Broncs,a80532,ebebeb,TRUE,13,58,FALSE,401375006,2022,Philadelphia,PA
401374075,s:40~l:54~e:401374075~c:401374075,2021-11-13T17:00Z,160,s:40~l:54~t:160,"New Hampshire",Wildcats,004990,c3c4c6,1,58,TRUE,159,s:40~l:54~t:159,Dartmouth,"Big Green",005730,000000,TRUE,12,46,FALSE,401374075,2022,Durham,NH
401374072,s:40~l:54~e:401374072~c:401374072,2021-11-13T17:00Z,2066,s:40~l:54~t:2066,Binghamton,Bearcats,00614A,f0f0f0,1,73,TRUE,2099,s:40~l:54~t:2099,Canisius,"Golden Griffins",004a81,dda50f,TRUE,13,56,FALSE,401374072,2022,Binghamton,NY
401376743,s:40~l:54~e:401376743~c:401376743,2021-11-13T16:30Z,2550,s:40~l:54~t:2550,"Seton Hall",Pirates,0857B1,8a8d8f,4,63,FALSE,2230,s:40~l:54~t:2230,Fordham,Rams,830032,909090,TRUE,3,82,TRUE,401376743,2022,"South Orange",NJ
401376844,s:40~l:54~e:401376844~c:401376844,2021-11-13T04:00Z,204,s:40~l:54~t:204,"Oregon State",Beavers,d73f09,000000,21,82,TRUE,2351,s:40~l:54~t:2351,"Loyola Marymount",Lions,880029,00345b,TRUE,29,52,FALSE,401376844,2022,Corvallis,OR
401376894,s:40~l:54~e:401376894~c:401376894,2021-11-13T03:00Z,264,s:40~l:54~t:264,Washington,Huskies,33006f,e8d3a2,21,57,TRUE,301,s:40~l:54~t:301,"San Diego",Toreros,2f99d4,2f99d4,TRUE,29,51,FALSE,401376894,2022,Seattle,WA
401381109,s:40~l:54~e:401381109~c:401381109,2021-11-13T02:00Z,167,s:40~l:54~t:167,"New Mexico",Lobos,000000,231f20,44,96,TRUE,3141,s:40~l:54~t:3141,"Northern New Mexico",Eagles,NA,NA,FALSE,NA,40,FALSE,401381109,2022,Albuquerque,NM
401376803,s:40~l:54~e:401376803~c:401376803,2021-11-13T02:00Z,9,s:40~l:54~t:9,"Arizona State","Sun Devils",942139,f1f2f3,21,59,FALSE,135,s:40~l:54~t:135,Minnesota,"Golden Gophers",981a31,981a31,TRUE,7,66,TRUE,401376803,2022,Tempe,AZ
401377513,s:40~l:54~e:401377513~c:401377513,2021-11-13T01:30Z,227,s:40~l:54~t:227,"Rhode Island",Rams,091f3f,5ab3e8,3,106,TRUE,2771,s:40~l:54~t:2771,Merrimack,Warriors,2f4f93,e8c535,TRUE,19,42,FALSE,401377513,2022,Kingston,RI
401379775,s:40~l:54~e:401379775~c:401379775,2021-11-13T01:00Z,305,s:40~l:54~t:305,DePaul,"Blue Demons",2d649c,ce1125,4,87,TRUE,2350,s:40~l:54~t:2350,"Loyola Chicago",Ramblers,9d1244,NA,TRUE,18,53,FALSE,401379775,2022,Chicago,IL
401378071,s:40~l:54~e:401378071~c:401378071,2021-11-13T01:00Z,2182,s:40~l:54~t:2182,Drexel,Dragons,020260,ffd65a,10,63,TRUE,2603,s:40~l:54~t:2603,"Saint Joseph's",Hawks,C2071B,101010,TRUE,3,55,FALSE,401378071,2022,Philadelphia,PA
401375918,s:40~l:54~e:401375918~c:401375918,2021-11-13T01:00Z,238,s:40~l:54~t:238,Vanderbilt,Commodores,000000,231f20,23,40,FALSE,2031,s:40~l:54~t:2031,"Little Rock",Trojans,AD0000,898d8f,TRUE,27,56,TRUE,401375918,2022,Nashville,TN
401375638,s:40~l:54~e:401375638~c:401375638,2021-11-13T01:00Z,2320,s:40~l:54~t:2320,Lamar,Cardinals,000000,ebebeb,30,107,TRUE,2758,s:40~l:54~t:2758,"Howard Payne","Yellow Jackets",02215b,b5985b,FALSE,NA,37,FALSE,401375638,2022,Beaumont,TX
